branch,program_name,is_eligible
Sharia,Accounting,True
Sharia,Business Administration,True
Sharia,Financial and Banking Sciences,True
Sharia,Financial Technology,True
Sharia,Digital Marketing and Communication,True
Sharia,Investment and Real Estate Development,True
Sharia,Business Intelligence,True
Sharia,Arabic Language and Literature,True
Sharia,English Language and Literature,True
Sharia,French Language,True
Sharia,History,True
Sharia,Geography,True
Sharia,Tourism and Archaeology,True
Sharia,Psychology – Psychological Counseling,True
Sharia,Social Work,True
Sharia,Physical Education,True
Sharia,Kindergarten,True
Sharia,Elementary School Teacher,True
Sharia,Music,True
Sharia,Interior Design,True
Sharia,Painting and Drawing,True
Sharia,Graphic Design,True
Sharia,Ceramic Art,True
Sharia,Game Design,True
Sharia,Fashion Design,True
Sharia,Therapeutic Expressive Art,True
Sharia,Jurisprudence and Legislation,True
Sharia,Fundamentals of Religion,True
Sharia,Islamic Banking,True
Sharia,Law,True
Agricultural,Biology and Biotechnology,True
Agricultural,Mathematics,True
Agricultural,Mathematics and Data Science,True
Agricultural,Physics,True
Agricultural,Applied Physics Technology,True
Agricultural,Chemistry,True
Agricultural,Applied Chemistry,True
Agricultural,Molecular Diagnostics Technology,True
Agricultural,Arabic Language and Literature,True
Agricultural,English Language and Literature,True
Agricultural,French Language,True
Agricultural,History,True
Agricultural,Geography,True
Agricultural,Tourism and Archaeology,True
Agricultural,Psychology – Psychological Counseling,True
Agricultural,Social Work,True
Agricultural,Physical Education,True
Agricultural,Kindergarten,True
Agricultural,Elementary School Teacher,True
Agricultural,Jurisprudence and Legislation,True
Agricultural,Fundamentals of Religion,True
Agricultural,Islamic Banking,True
Agricultural,Computer Science,True
Agricultural,Computer Science in the Job Market,True
Agricultural,Management Information Systems,True
Agricultural,Cybersecurity,True
Agricultural,Digital Economy,True
Agricultural,Digital Media and Communication,True
Agricultural,Radio and Television,True
Agricultural,Public Relations,True
Agricultural,Accounting,True
Agricultural,Business Administration,True
Agricultural,Financial and Banking Sciences,True
Agricultural,Financial Technology,True
Agricultural,Digital Marketing and Communication,True
Agricultural,Investment and Real Estate Development,True
Agricultural,Business Intelligence,True
Agricultural,Veterinary Medicine,True
Agricultural,Nutrition and Food Processing,True
Agricultural,Political Science,True
Agricultural,Music,True
Agricultural,Interior Design,True
Agricultural,Painting and Drawing,True
Agricultural,Graphic Design,True
Agricultural,Ceramic Art,True
Agricultural,Game Design,True
Agricultural,Fashion Design,True
Agricultural,Therapeutic Expressive Art,True
Industrial,Biology and Biotechnology,True
Industrial,Mathematics,True
Industrial,Mathematics and Data Science,True
Industrial,Physics,True
Industrial,Applied Physics Technology,True
Industrial,Chemistry,True
Industrial,Applied Chemistry,True
Industrial,Molecular Diagnostics Technology,True
Industrial,Arabic Language and Literature,True
Industrial,English Language and Literature,True
Industrial,French Language,True
Industrial,History,True
Industrial,Geography,True
Industrial,Tourism and Archaeology,True
Industrial,Psychology – Psychological Counseling,True
Industrial,Social Work,True
Industrial,Physical Education,True
Industrial,Kindergarten,True
Industrial,Elementary School Teacher,True
Industrial,Jurisprudence and Legislation,True
Industrial,Fundamentals of Religion,True
Industrial,Islamic Banking,True
Industrial,Civil Engineering,True
Industrial,Geomatic Engineering,True
Industrial,Architectural Engineering,True
Industrial,Construction Engineering,True
Industrial,Planning Engineering,True
Industrial,Mechanical Engineering,True
Industrial,Chemical Engineering,True
Industrial,Industrial Engineering,True
Industrial,Computer Engineering,True
Industrial,Electrical Engineering,True
Industrial,Mechatronics Engineering,True
Industrial,Energy and Environmental Engineering,True
Industrial,Network Engineering,True
Industrial,Computer Science,True
Industrial,Computer Science in the Job Market,True
Industrial,Management Information Systems,True
Industrial,Cybersecurity,True
Industrial,Digital Economy,True
Industrial,Digital Media and Communication,True
Industrial,Radio and Television,True
Industrial,Public Relations,True
Industrial,Accounting,True
Industrial,Business Administration,True
Industrial,Financial and Banking Sciences,True
Industrial,Financial Technology,True
Industrial,Digital Marketing and Communication,True
Industrial,Investment and Real Estate Development,True
Industrial,Business Intelligence,True
Industrial,Nutrition and Food Processing,True
Industrial,Agricultural Engineering,True
Industrial,Political Science,True
Industrial,Music,True
Industrial,Interior Design,True
Industrial,Painting and Drawing,True
Industrial,Graphic Design,True
Industrial,Ceramic Art,True
Industrial,Game Design,True
Industrial,Fashion Design,True
Industrial,Therapeutic Expressive Art,True
Hotel and Home Economics,Management Information Systems,True
Hotel and Home Economics,Digital Economy,True
Hotel and Home Economics,Digital Media and Communication,True
Hotel and Home Economics,Radio and Television,True
Hotel and Home Economics,Public Relations,True
Hotel and Home Economics,Accounting,True
Hotel and Home Economics,Business Administration,True
Hotel and Home Economics,Financial and Banking Sciences,True
Hotel and Home Economics,Financial Technology,True
Hotel and Home Economics,Digital Marketing and Communication,True
Hotel and Home Economics,Investment and Real Estate Development,True
Hotel and Home Economics,Business Intelligence,True
Hotel and Home Economics,Arabic Language and Literature,True
Hotel and Home Economics,English Language and Literature,True
Hotel and Home Economics,French Language,True
Hotel and Home Economics,History,True
Hotel and Home Economics,Geography,True
Hotel and Home Economics,Tourism and Archaeology,True
Hotel and Home Economics,Psychology – Psychological Counseling,True
Hotel and Home Economics,Social Work,True
Hotel and Home Economics,Physical Education,True
Hotel and Home Economics,Kindergarten,True
Hotel and Home Economics,Elementary School Teacher,True
Hotel and Home Economics,Music,True
Hotel and Home Economics,Interior Design,True
Hotel and Home Economics,Painting and Drawing,True
Hotel and Home Economics,Graphic Design,True
Hotel and Home Economics,Ceramic Art,True
Hotel and Home Economics,Game Design,True
Hotel and Home Economics,Fashion Design,True
Hotel and Home Economics,Therapeutic Expressive Art,True
Hotel and Home Economics,Jurisprudence and Legislation,True
Hotel and Home Economics,Fundamentals of Religion,True
Hotel and Home Economics,Islamic Banking,True
Information Technology,Biology and Biotechnology,True
Information Technology,Mathematics,True
Information Technology,Mathematics and Data Science,True
Information Technology,Physics,True
Information Technology,Applied Physics Technology,True
Information Technology,Chemistry,True
Information Technology,Applied Chemistry,True
Information Technology,Molecular Diagnostics Technology,True
Information Technology,Arabic Language and Literature,True
Information Technology,English Language and Literature,True
Information Technology,French Language,True
Information Technology,History,True
Information Technology,Geography,True
Information Technology,Tourism and Archaeology,True
Information Technology,Psychology – Psychological Counseling,True
Information Technology,Social Work,True
Information Technology,Physical Education,True
Information Technology,Kindergarten,True
Information Technology,Elementary School Teacher,True
Information Technology,Jurisprudence and Legislation,True
Information Technology,Fundamentals of Religion,True
Information Technology,Islamic Banking,True
Information Technology,Civil Engineering,True
Information Technology,Geomatic Engineering,True
Information Technology,Architectural Engineering,True
Information Technology,Construction Engineering,True
Information Technology,Planning Engineering,True
Information Technology,Mechanical Engineering,True
Information Technology,Chemical Engineering,True
Information Technology,Industrial Engineering,True
Information Technology,Computer Engineering,True
Information Technology,Electrical Engineering,True
Information Technology,Mechatronics Engineering,True
Information Technology,Energy and Environmental Engineering,True
Information Technology,Network Engineering,True
Information Technology,Computer Science,True
Information Technology,Computer Science in the Job Market,True
Information Technology,Management Information Systems,True
Information Technology,Cybersecurity,True
Information Technology,Digital Economy,True
Information Technology,Digital Media and Communication,True
Information Technology,Radio and Television,True
Information Technology,Public Relations,True
Information Technology,Accounting,True
Information Technology,Business Administration,True
Information Technology,Financial and Banking Sciences,True
Information Technology,Financial Technology,True
Information Technology,Digital Marketing and Communication,True
Information Technology,Investment and Real Estate Development,True
Information Technology,Business Intelligence,True
Information Technology,Veterinary Medicine,True
Information Technology,Nutrition and Food Processing,True
Information Technology,Agricultural Engineering,True
Information Technology,Political Science,True
Information Technology,Music,True
Information Technology,Interior Design,True
Information Technology,Painting and Drawing,True
Information Technology,Graphic Design,True
Information Technology,Ceramic Art,True
Information Technology,Game Design,True
Information Technology,Fashion Design,True
Information Technology,Therapeutic Expressive Art,True
Entrepreneurship and Business,Management Information Systems,True
Entrepreneurship and Business,Digital Economy,True
Entrepreneurship and Business,Digital Media and Communication,True
Entrepreneurship and Business,Radio and Television,True
Entrepreneurship and Business,Public Relations,True
Entrepreneurship and Business,Accounting,True
Entrepreneurship and Business,Business Administration,True
Entrepreneurship and Business,Financial and Banking Sciences,True
Entrepreneurship and Business,Financial Technology,True
Entrepreneurship and Business,Digital Marketing and Communication,True
Entrepreneurship and Business,Investment and Real Estate Development,True
Entrepreneurship and Business,Business Intelligence,True
Entrepreneurship and Business,Arabic Language and Literature,True
Entrepreneurship and Business,English Language and Literature,True
Entrepreneurship and Business,French Language,True
Entrepreneurship and Business,History,True
Entrepreneurship and Business,Geography,True
Entrepreneurship and Business,Tourism and Archaeology,True
Entrepreneurship and Business,Psychology – Psychological Counseling,True
Entrepreneurship and Business,Social Work,True
Entrepreneurship and Business,Physical Education,True
Entrepreneurship and Business,Kindergarten,True
Entrepreneurship and Business,Elementary School Teacher,True
Entrepreneurship and Business,Music,True
Entrepreneurship and Business,Interior Design,True
Entrepreneurship and Business,Painting and Drawing,True
Entrepreneurship and Business,Graphic Design,True
Entrepreneurship and Business,Ceramic Art,True
Entrepreneurship and Business,Game Design,True
Entrepreneurship and Business,Fashion Design,True
Entrepreneurship and Business,Therapeutic Expressive Art,True
Entrepreneurship and Business,Jurisprudence and Legislation,True
Entrepreneurship and Business,Fundamentals of Religion,True
Entrepreneurship and Business,Islamic Banking,True
