feature,importance
eligible_Molecular Diagnostics Technology,0.001126443481100979
eligible_Medical Imaging,0.001125391012368611
eligible_Chemistry,0.0011226030757224492
eligible_Audiology and Speech Sciences,0.0011180413483039356
eligible_Physical Therapy,0.0010808633960055034
eligible_Biology and Biotechnology,0.0010569135957997126
eligible_Applied Physics Technology,0.0010480666972086051
eligible_Computer Science,0.0010365578095186197
eligible_Cardiopulmonary Perfusion Technology,0.001036007838826062
eligible_Physics,0.0009957847620991507
eligible_Political Science,0.0009564994477579143
eligible_Nutrition and Food Processing,0.0009231495294664045
eligible_Mathematics,0.0008472795320944682
eligible_Computer Science in the Job Market,0.0007781562872445423
eligible_Mathematics and Data Science,0.0007384956626655574
eligible_Electrical Engineering,0.0007320555788013675
eligible_Civil Engineering,0.0006981539146955483
eligible_Chemical Engineering,0.0006927157806138161
eligible_Energy and Environmental Engineering,0.0006833573215179402
eligible_Construction Engineering,0.0006807257637236882
eligible_Industrial Engineering,0.0006657042404400581
eligible_Human Medicine,0.0006365379183656161
eligible_Pharmacy,0.0006237617672577551
eligible_Network Engineering,0.0006063623011103094
eligible_Mechatronics Engineering,0.0005884890823819114
eligible_Mechanical Engineering,0.0005658708641743639
eligible_Geomatic Engineering,0.0005487306972644559
eligible_Music,0.0005475790669550441
eligible_Geography,0.0005419374465532856
eligible_Dentistry,0.0005265831271594651
eligible_Architectural Engineering,0.000510749590079511
eligible_Painting and Drawing,0.0004959380028860448
eligible_Planning Engineering,0.0004850415282255044
eligible_Ceramic Art,0.000472848261900612
eligible_Psychology – Psychological Counseling,0.0004546107041528308
eligible_Elementary School Teacher,0.00045446686708864513
eligible_Financial and Banking Sciences,0.0004519267306185601
eligible_Therapeutic Expressive Art,0.00044339070785326477
eligible_Radio and Television,0.00044206894953799044
eligible_Jurisprudence and Legislation,0.00044168063506311577
eligible_Digital Media and Communication,0.0004348039367670578
eligible_French Language,0.00042279296656319375
eligible_Physical Education,0.0004155185450167661
eligible_Islamic Banking,0.000414671262233576
eligible_Tourism and Archaeology,0.00041360631792183183
eligible_History,0.00040762311434744376
eligible_Financial Technology,0.00040049282917131967
eligible_Game Design,0.00039733335995275156
eligible_Digital Marketing and Communication,0.0003935187159133123
eligible_Digital Economy,0.00039325230509300785
gpa_bin_<60,0.000393069055115854
eligible_Kindergarten,0.0003902599830440664
eligible_Fashion Design,0.00038685809630783005
eligible_Social Work,0.00038331479736119703
eligible_English Language and Literature,0.00037564816176903937
eligible_Accounting,0.00037375330543102097
eligible_Management Information Systems,0.00036242254531564707
eligible_Public Relations,0.0003566577881549811
eligible_Graphic Design,0.00034101715189345977
eligible_Business Intelligence,0.00033899681119582356
eligible_Interior Design,0.00033696086007513375
core_avg_bin_<60,0.0003266418572414983
eligible_Business Administration,0.00032361923113162483
eligible_Fundamentals of Religion,0.00032267448949476266
branch_Information Technology,0.0002996963616977169
eligible_Arabic Language and Literature,0.00025289779333742286
eligible_Investment and Real Estate Development,0.00020506005648156884
